Group;Key;Text;codeEL;codeNT;codePython;codePRT
Time;Time0-1800;;Time[0] >= 0 and Time[0] <= 1800;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 180000;;Time[0] >= 00 and Time[0] <= 180000
Time;Time0-1900;;Time[0] >= 0 and Time[0] <= 1900;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 190000;;Time[0] >= 00 and Time[0] <= 190000
Time;Time0-2000;;Time[0] >= 0 and Time[0] <= 2000;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 200000;;Time[0] >= 00 and Time[0] <= 200000
Time;Time0-2100;;Time[0] >= 0 and Time[0] <= 2100;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 210000;;Time[0] >= 00 and Time[0] <= 210000
Time;Time0-2200;;Time[0] >= 0 and Time[0] <= 2200;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 220000;;Time[0] >= 00 and Time[0] <= 220000
Time;Time0-2300;;Time[0] >= 0 and Time[0] <= 2300;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 230000;;Time[0] >= 00 and Time[0] <= 230000
Time;Time0-2400;;Time[0] >= 0 and Time[0] <= 2400;ToTime(Time[0]) >= 0 && ToTime(Time[0]) <= 240000;;Time[0] >= 00 and Time[0] <= 240000
Time;Time100-200;;Time[0] >= 100 and Time[0] <= 200  ;ToTime(Time[0]) >= 10000 && ToTime(Time[0]) <= 20000;;Time[0] >= 10000 and Time[0] <= 20000  
Time;Time100-300;;Time[0] >= 100 and Time[0] <= 300  ;ToTime(Time[0]) >= 10000 && ToTime(Time[0]) <= 30000;;Time[0] >= 10000 and Time[0] <= 30000  
Time;Time100-400;;Time[0] >= 100 and Time[0] <= 400  ;ToTime(Time[0]) >= 10000 && ToTime(Time[0]) <= 40000;;Time[0] >= 10000 and Time[0] <= 40000  
Time;Time100-500;;Time[0] >= 100 and Time[0] <= 500  ;ToTime(Time[0]) >= 10000 && ToTime(Time[0]) <= 50000;;Time[0] >= 10000 and Time[0] <= 50000  
Time;Time100-600;;Time[0] >= 100 and Time[0] <= 600  ;ToTime(Time[0]) >= 10000 && ToTime(Time[0]) <= 60000;;Time[0] >= 10000 and Time[0] <= 60000  
Time;Time100-700;;Time[0] >= 100 and Time[0] <= 700  ;ToTime(Time[0]) >= 10000 && ToTime(Time[0]) <= 70000;;Time[0] >= 10000 and Time[0] <= 70000  
Time;Time100-800;;Time[0] >= 100 and Time[0] <= 800  ;ToTime(Time[0]) >= 10000 && ToTime(Time[0]) <= 80000;;Time[0] >= 10000 and Time[0] <= 80000  
Time;Time100-900;;Time[0] >= 100 and Time[0] <= 900  ;ToTime(Time[0]) >= 10000 && ToTime(Time[0]) <= 90000;;Time[0] >= 10000 and Time[0] <= 90000  
Time;Time100-1000;;Time[0] >= 100 and Time[0] <= 1000 ;ToTime(Time[0]) >= 10000 && ToTime(Time[0]) <= 100000;;Time[0] >= 10000 and Time[0] <= 100000 
Time;Time100-1100;;Time[0] >= 100 and Time[0] <= 1100 ;ToTime(Time[0]) >= 10000 && ToTime(Time[0]) <= 110000;;Time[0] >= 10000 and Time[0] <= 110000 
Time;Time100-1200;;Time[0] >= 100 and Time[0] <= 1200 ;ToTime(Time[0]) >= 10000 && ToTime(Time[0]) <= 120000;;Time[0] >= 10000 and Time[0] <= 120000 
